Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.008966,,2.0,None,GUDB_00,GUDB_sitting,neurokit
250,0.007,,2.0,None,GUDB_00,GUDB_maths,neurokit
250,0.007999,,2.0,None,GUDB_00,GUDB_walking,neurokit
250,0.009001,,2.0,None,GUDB_00,GUDB_hand_bike,neurokit
250,0.012004,,2.0,None,GUDB_00,GUDB_jogging,neurokit
250,0.015034,,2.0,None,GUDB_01,GUDB_sitting,neurokit
250,0.010967,,2.0,None,GUDB_01,GUDB_maths,neurokit
250,0.015,,2.0,None,GUDB_01,GUDB_walking,neurokit
250,0.012,,2.0,None,GUDB_01,GUDB_hand_bike,neurokit
250,0.011002,,2.0,None,GUDB_01,GUDB_jogging,neurokit
250,0.011001,,2.0,None,GUDB_02,GUDB_sitting,neurokit
250,0.008033,,2.0,None,GUDB_02,GUDB_maths,neurokit
250,0.009042,,2.0,None,GUDB_02,GUDB_walking,neurokit
250,0.016003,,2.0,None,GUDB_02,GUDB_jogging,neurokit
250,0.007,,2.0,None,GUDB_03,GUDB_sitting,neurokit
250,0.010001,,2.0,None,GUDB_03,GUDB_maths,neurokit
250,0.011037,,2.0,None,GUDB_03,GUDB_walking,neurokit
250,0.011,,2.0,None,GUDB_03,GUDB_hand_bike,neurokit
250,0.013,,2.0,None,GUDB_03,GUDB_jogging,neurokit
250,0.011994,,2.0,None,GUDB_04,GUDB_sitting,neurokit
250,0.009002,,2.0,None,GUDB_04,GUDB_maths,neurokit
250,0.009966,,2.0,None,GUDB_04,GUDB_walking,neurokit
250,0.008,,2.0,None,GUDB_04,GUDB_hand_bike,neurokit
250,0.026,,2.0,None,GUDB_04,GUDB_jogging,neurokit
250,0.007966,,2.0,None,GUDB_05,GUDB_sitting,neurokit
250,0.009034,,2.0,None,GUDB_05,GUDB_maths,neurokit
250,0.009,,2.0,None,GUDB_05,GUDB_walking,neurokit
250,0.010999,,2.0,None,GUDB_05,GUDB_hand_bike,neurokit
250,0.010999,,2.0,None,GUDB_05,GUDB_jogging,neurokit
250,0.007967,,2.0,None,GUDB_06,GUDB_sitting,neurokit
